Sr No.,Title,SLUG,Short_Desc,Description,Images,Product_Type,Tags,Sku,Sale Price,Mrp,Meta_Barcode,Meta_title,Meta_description,Status
11.0,Trunext 100% Pure Natural Coconut Avocado Conditioner (300 ml),trunext-100-pure-natural-coconut-avocado-conditioner-300-ml,"Coconut Avocado hair Conditioner treats your dry and rough hair making sliky smoothy and shiny. Enriched with Avacado, it provides intense and long lasting hydration for your healthy hair, strengthen hair roots naturally, help to prevent hair loss and reduces hair breakage.","Trunext Coconut Avocado hair Conditioner help to enhance the natural shine of your beautiful hair with its natual ingredients and restores your hair strength. just wash your hair with Trunext shampoo then take Trunext Coconut Avocado hair Conditioner, apply on your hair and leave if for 2 minutes and wash with normal water.",https://www.dropbox.com/sh/flizs83zn8vytyn/AAA7DcACknBhe4M8Lf5ABIKba?dl=0,CONDITIONER,"Coconut Conditioner, Hair Conditioner, Natural Conditioner",Conditioner Coconut 300,309.0,599.0,5299753632513.0,Trunext 100% Pure Natural Coconut Avocado Conditioner,"Coconut Avocado hair Conditioner treat your dry and rough hair making sliky smoothy and shiny. Enriched with Avacado, it provides intense and long lasting hydration for your healthy hair, strengthen hair roots naturally, help to prevent hair lost and reduces hair breakage.",Active
12.0,Trunext Moroccan Argan Conditioner (300 ml),trunext-moroccan-argan-conditioner-300-ml,"Trunext Moroccan Argan Conditioner is specially formulated to restore hair damage, make smoothy, shiny and healthy looking hair. It stimulates healthy hair follicles, prevent hair loss, reduce dandruff and boost hair growth naturally. It is suitable for all types of hair.","Trunext Moroccan Argan Conditioner has amazing ingredients that provide naturally derived beauty to your hair and helps prevents dryness and frizziness, It is ideal for dry hair. It restore hair damage and growth naturally. use is simple just wash your hair with Trunext shampoo then take Conditioner, apply on your hair and leave if for 2 minutes and wash with normal water.",https://www.dropbox.com/sh/2rmz0ol5hvv3o5n/AABMWOZl46m5V8MRXEQvhnR6a?dl=0,CONDITIONER,"Moroccan Conditioner, Hair Conditioner,",Conditioner Moroccan 300,329.0,599.0,5299753632520.0,Trunext Moroccan Argan  Hair Conditioner ,"Trunext Moroccan Argan Conditioner specially formulated to restore hair damage, make smoothy, shiny and healthy looking hair. It stimulates healthy hair follicles, prevent hair loss, dandruff and boost hair growth naturally. It is suitable for all type of hairs.",Active
13.0,Trunext Vitamin C Foaming Face Wash (150 ml),trunext-vitamin-c-foaming-face-wash-150-ml,"Trunext Vitamin C Foaming Face Wash has goodness of Vitamin C that helps to fighting and drying out existing acne on the skin and also eliminates acne forming bacteria, prevent from future breakouts. Make your skin brighten, cleanses and remove dead skin cells.","Trunext Vitamin C Foaming Face Wash make your skin fresh and effective, Face wash loaded with natural ingredients that help to brightening, preventing acne and keep your face clean and boost your face glow. easy use of face wash, just wet your face up to the neak area with normal water, pump out Trunext Vitamin C Foaming Face Wash as per requirement, massage on your face circular motion with brush all over the face up to neck and then wash with water.",https://www.dropbox.com/sh/gkv14ht2gnldoo6/AABEDAL6q5fyTj5wLbPNbNTBa?dl=0,FACE WASH,"Vitamin Face Wash, Foaming Face Wash, Face Wash, Natural Face wash",FFW Vitamin C 150,359.0,649.0,5299753632568.0,Trunext Vitamin C Foaming Face Wash,"Trunext Vitamin CFoaming Face Wash has goodness of Vitamin C that helps to fighting and drying out existing acne on the skin and also aliminates acne forming bacteria, prevent from future breakouts. Make your face skin brightens, cleanses and remove dead skin cells.",Active
14.0,Trunext  100% Natural Apple Cider Vinegar Foaming Face Wash (150 ml),trunext-100-natural-apple-cider-vinegar-foaming-face-wash-150-ml,"Turenext  100% Natural Apple Cider Vinegar Foaming Face Wash is made with pure organic apple cider vinegar to restore the proper PH level to your skin and prevent your skin from becoming too oily or too dry, It assist in clearning and refining skin. It gives a supple and make bright complexion skin. It provide deep cleansing without irritating the skin.","Apple Cider Vinegar Foaming Face wash is free from harmful chemical, It effectively removes all dead skin cell and make your skin soft and glowing. It is suitable for all skin types, face wash use is very easy just wet your face up to the neak area with normal water, pump out Foaming Face Wash as per requirement, massage on your face circular motion with brush all over the face up to neck and then wash with water.",https://www.dropbox.com/sh/pq2conwf042hz6y/AABEDO1DXqDOM7RIT1KFPKgCa?dl=0,FACE WASH ,"Foaming Face Wash, Apple Face wash, Apple Cider Vinegar Foaming Face Wash, Face Wash, Natural Face wash",FFW ACV 150,349.0,649.0,5299753632544.0,Trunext  100% Natural Apple Cider Vinegar Foaming Face Wash,"Turenext  100% Natural Apple Cider Vinegar Foaming Face Wash is made with pure organic apple cider vinegar to restore the proper PH level to your skin and prevent your skin from becoming too oily or too dry, It assist in clearning and refining skin. It gives a supple and make bright complexion skin. It provide deep cleansing without irritating the skin.",Active
15.0,Trunext 100% Natural Tea Tree Foaming Face Wash (150 ml),trunext-100-natural-tea-tree-foaming-face-wash-150-ml,"Trunext Tea Tree Foaming Face Wash is formulated with powerful natural ingredient like Tea tree, this face wash helps reducing acne and protects your skin from further outbursts. It removes impurities from skin and help to hydrate skin, It is suitable for all skin types.","Trunext Tea Tree Foaming Face Wash is best face wash for oily, acne-prone skin types, it's works to tackle ance and its related related issues and help to clear out blackheads, refreshes skin and calms irritation. Apply on your skin and leave if for 2 minutes  and wash with normal water.",https://www.dropbox.com/sh/09n61nispvdfvjf/AACuqvg-vm4eZJKpNren8Iova?dl=0,FACE WASH ,"Tea Tree Foaming Face Wash, Foaming Face Wash, Face wash",FFW Tea Tree 150,349.0,649.0,5299753632551.0,Trunext 100% Natural Tea Tree Foaming Face Wash,"Trunext Tea Tree Foaming Face Wash is formulated with powerful natural ingredient like Tea tree, this face wash reducing acne and protects your skin from further outbursts. It removes impurities from skin and help to hydrate skin, It is suitable for all skin types.",Active
16.0,Trunext Ubtan Foaming Face Wash (150 ml),trunext-ubtan-foaming-face-wash-150-ml,"Trunext Ubtan Foaming Face Wash is best face wash for brighten your tanned skin and cleanse your dull skin. It is a skin-reviving face wash that helps to refresh tanned, tired skin by gently removing the layer of dead skin.","Trunext Ubtan Foaming Face Wash is infused with turmeric, saffron, almond powder, rose water and sandalwood oil that help to improve your skin’s texture and appearance by protecting it from environmental damage.It is made from traditional natural ingredients known for their cleansing and skin restoring properties.",https://www.dropbox.com/sh/oiab52npof49idh/AAC5dpgH39oytn-o7zumzK-za?dl=0,FACE WASH ,"Ubtan Foaming Face Wash, Foaming Face Wash, Face Wash",FFW Ubtan 150,359.0,649.0,5299753632537.0,Trunext Ubtan Foaming Face Wash,"Trunext Ubtan Foaming Face Wash is best face wash for brighten your tanned skin and cleanse your dull skin. It is a skin-reviving face wash that helps to refresh tanned, tired skin by gently removing the layer of dead skin.",Active
17.0,Trunext 100% Natural Aloe Vera Gel (200 ml),trunext-100-natural-aloe-vera-gel-200-ml,"Trunext 100% Natural Aloe Vera Gel help to repairs everyday skin and hair damage and retaining the natural elasticity of the skin, it is made with pure and natural ingredients that protect skin hydration, also make soft smoothy and shiny hair.  It is suitable for all type of skin and hair.","Trunext 100% Natural Aloe Vera Gel is moisturizing gel that glow your skin and make your hair shiny, aslo improves the hair quality. This aloe vera gel is very easy, for face and body. Take some amount of gel and apply on your face up to neck and leave it overnight and then wash off in the morning with water. and for hair apply this aloe vera gel on your hair before going to sleep, and wash with trunext shampoo next day, do it twice in week.",https://www.dropbox.com/sh/22ppn0lcvf5qjy4/AAA5gs8HOGArJkoi4L4NwUWma?dl=0,GEL,"Natural Aloe Vera Gel, Aloe Vera Gel, Aloe vera",Gel Aloe Vera 200,279.0,499.0,5299753632612.0,Trunext 100% Natural Aloe Vera Gel,"Trunext 100% Natural Aloe Vera Gel is help to repairs everyday skin and hair damage and retaining the natural elasticity of the skin, it is made with pure and natural ingredients that protes skin hydration, also make soft smoothy and shiny hair.  It is suitable for all type of skin and hair.",Active
18.0,Trunext Charcoal Bamboo Face & Body Scrub (200 ml),trunext-charcoal-bamboo-face-body-scrub-200-ml,"Trunext Charcoal Bamboo Face & Body Scrub polishes your skin to give you smooth and irresistibly soft skin. It help to glowing and make your skin looking young that is perfectly nourished. It restores blemishes free skin and evens up skin complexion also prevents from dryness and evens out complexion, giving skin a soft glow.","Trunext Charcoal Bamboo Face & Body Scrub has natural ingridents like charcoal, it help to protect your skin from environmental damage, support to renewal process. Get Trunext Charcoal Bamboo Face & Body Scrub and apply on to your damp face gently rub in circular motion, then wash with normal water, it is suitable for all type of face and body.",https://www.dropbox.com/sh/jmbckcpshobw0os/AAA55_ssjnjEsWL3nL5lvYNLa?dl=0,SCRUB,"Face & Body Scrub, Body Scrub, Face Scrub, Charcoal Face & Body Scrub",Scrub Charcoal 200,329.0,599.0,5299753632582.0,Trunext Charcoal Bamboo Face & Body Scrub,"Trunext Charcoal Bamboo Face & Body Scrub polishes your skin to give you smooth and irresistibly soft skin. It help to glowing and make your skin looking young that is perfectly nourished. It restores blemishes free skin and evens up skin complexion also prevents from dryness and evens out complexion, giving skin a soft glow.",Active
19.0,Trunext Ubtan Face & Body Scrub (200 ml),trunext-ubtan-face-body-scrub-200-ml,"Trunext Ubtan Face & Body Scrub assits in removing layer of dead skin, help to moisturize and make your skin soft, smooth texture and glowing. It protect from all environmental damage, and suppots in the skin renewal process. ","Trunext Ubtan Face & Body Scrub is secret of beauty, it's made with natural ingredient that protect your skin, it evens out complexion and giving skin a soft glow. Get Trunext Ubtan Face & Body Scrub and apply on to your damp face gently rub in circular motion, then wash with normal water, it is suitable for all type of face and body.",https://www.dropbox.com/sh/5de2fm4lqch81tt/AAAH8rAO2TnO5O4fvAk8vneva?dl=0,SCRUB,"Face & Body Scrub, Body Scrub, Face Scrub, Ubtan Face & Body Scrub",Scrub Ubtan 200,339.0,599.0,5299753632605.0,Trunext Ubtan Face & Body Scrub,"Trunext Ubtan Face & Body Scrub assits in removing layer of dead skin, help to moisturize and make your skin soft, smooth texture and glowing. It protect from all environmental damage, and suppots in the skin renewal process. ",Active
20.0,Trunext Onion Black Seed Hair Mask (200 ml),trunext-onion-black-seed-hair-mask-200-ml,"Trunext Onion Black Seed Hair Mask is use for hair stength and growth, this deeply conditioning hair mask replesishes lost moisture and fights for scalp buildup. This help to prevents hair fall, give smooth, glossy, and shiny look to our hair. ","Trunext Onion Black Seed Hair Mask has a blend of natural ingredients that enhacing your hair texture and make them shiny. It is suitable for all hair tupes, this hair mask can be use to add deep hydration to your hair and scalp. you need to just apply hair mask on the strands going from mid-length to the tip, and get finger comb the hair, emulsify the mask through the hair to allow it to penetrate the shafts then rinse with normal water.",https://www.dropbox.com/sh/40z4fx6mkcnekko/AACDnVDdirteGmUvaVb-LooKa?dl=0,HAIR MASK,"Onion Black Seed Hair Mask, Hair Mask",Mask Onion 200,449.0,599.0,5299753632575.0,Trunext Onion Black Seed Hair Mask,"Trunext Onion Black Seed Hair Mask is use for hair stength and growth, this deeply conditioning hair mask replesishes lost moisture and fights for scalp buildup. This help to prevents hair fall, give smooth, glossy, and shiny look to our hair. ",Active
21.0,Trunext Moroccan Argan Hair Mask (200 ml),trunext-moroccan-argan-hair-mask-200-ml,"Trunext Moroccan Argan Hair Mask enriched with powerful hair care natural ingredients to deal with frizzy and damaged hair, and make healthy hair follicles, It prevents hair cuticle damage, Strengthens scalp for strong and shiny. It is suitable for all types of hair.","Trunext Moroccan Argan Hair Mask has a blend of natural ingredients that enhacing your hair texture and make them shiny. It is suitable for all hair types, this hair mask can be use to add deep hydration to your hair and scalp. you need to just apply hair mask on the strands going from mid-length to the tip, and finger comb the hair, emulsify the mask through the hair to allow it to penetrate the shafts then rinse with normal water.",https://www.dropbox.com/sh/e70dkuckf63o616/AADnVbME-bwrT07XvuXkFvYCa?dl=0,HAIR MASK,"Moroccan Argan Hair Mask, Hair Mask",Mask Moroccan 200,469.0,599.0,5299753632599.0,Trunext Moroccan Argan Hair Mask,"Trunext Moroccan Argan Hair Mask enriched with powerful hair care ingredients that availanle in nature, It deal with frizzy and damaged hair, and make healthy hair follicles, It prevents hair cuticle damage, Strengthens scalp for strong and shiny. It is suitable for all types of hair.",Active
